Date,Weight
2023-01-26,61.5
2023-01-31,62.0
2023-02-01,61.8
2023-02-03,62.4
2023-02-07,61.8
2023-02-10,63.0
2023-02-14,61.9
2023-02-15,61.0
2023-02-16,61.2
2023-02-17,62.0
2023-02-21,61.8
2023-02-22,62.4
2023-02-24,62.5
2023-02-27,62.2
2023-03-01,62.2
2023-03-02,62.2
2023-03-03,61.6
2023-03-06,62.1
2023-03-07,62.3
2023-03-08,63.0
2023-03-09,63.3
2023-03-10,63.0
2023-03-13,62.0
2023-03-14,62.3
2023-03-16,62.7
2023-03-17,63.4
2023-03-22,63.9
2023-03-23,64.1
2023-03-27,63.0
2023-03-28,63.8
2023-03-29,64.2
2023-03-30,64.3
2023-04-03,64.3
2023-04-04,63.8
2023-04-05,64.0
2023-04-06,64.1
2023-04-07,64.0
2023-04-10,63.7
2023-04-11,63.3
2023-04-12,64.5
2023-04-13,64.6
2023-04-14,64.3
2023-04-17,64.1
2023-04-18,64.1
2023-04-19,64.6
2023-04-20,65.2
2023-04-21,63.6
2023-04-24,64.3
2023-04-25,63.6
2023-04-26,64.1
2023-04-27,64.0
2023-04-28,65.0
2023-05-01,65.0
2023-05-02,65.0
2023-05-04,65.5
